"id CLIENTE","PAGO_MENSUAL ($)","GÉNERO","COMPAÑÍA","PERMANENCIA EN LA COMPAÑIA (AÑOS)","IMPUESTO_ADICIONAL($)"
"28866","23209","Femenino","ENTEL","2","3065"
"18840","19454","Femenino","ENTEL","5","3051"
"52883","17353","Femenino","ENTEL","3","2977"
"86965","19341","Femenino","ENTEL","1","2970"
"57092","20582","Masculino","WOM","1","3029"
"24896","21673","Masculino","WOM","6","3015"
"89395","23377","Femenino","ENTEL","8","3088"
"20220","24314","Masculino","WOM","7","3059"
"74575","23032","Masculino","WOM","2","3053"
"52412","14944","Femenino","ENTEL","5","2941"
"19419","19432","Femenino","ENTEL","4","3031"
"30618","18898","Femenino","ENTEL","7","2954"
"40149","19219","Masculino","CLARO","5","3028"
"65134","17759","Femenino","ENTEL","4","3013"
"64834","16409","Femenino","ENTEL","2","2979"
"55096","23891","Masculino","CLARO","8","3094"
"80708","22747","Femenino","ENTEL","7","3089"
"47373","27349","Femenino","ENTEL","5","3095"
"91976","26817","Femenino","ENTEL","3","3161"
"21446","22564","Masculino","WOM","5","3097"
"11594","23527","Masculino","CLARO","0","3049"
"69038","27173","Femenino","ENTEL","4","3144"
"86027","23363","Masculino","CLARO","5","3067"
"11134","23521","Femenino","ENTEL","5","3080"
"55200","20179","Masculino","WOM","4","3072"
"47617","13887","Masculino","CLARO","2","2880"
"87362","27114","Masculino","CLARO","6","3062"
"62444","20547","Femenino","ENTEL","2","3078"
"45890","29205","Masculino","CLARO","7","3094"
"67021","22432","Femenino","ENTEL","1","3095"
"72743","26649","Femenino","ENTEL","8","3097"
"53046","21479","Masculino","CLARO","5","2992"
"36349","18500","Femenino","ENTEL","1","2986"
"17457","22274","Masculino","CLARO","4","3063"
"25176","20622","Masculino","CLARO","8","2990"
"55519","14641","Femenino","ENTEL","8","2935"
"78346","21409","Masculino","CLARO","4","3061"
"49692","24442","Femenino","ENTEL","3","3132"
"17129","19984","Masculino","WOM","7","3030"
"85246","19376","Femenino","ENTEL","3","3040"
"17591","17994","Femenino","ENTEL","3","2998"
"80997","21928","Femenino","ENTEL","6","3098"
"62126","17080","Femenino","ENTEL","6","2972"
"17437","19437","Femenino","ENTEL","4","3021"
"18612","18716","Femenino","ENTEL","5","2960"
"42987","17574","Masculino","WOM","6","3020"
"59432","25849","Masculino","WOM","5","3129"
"90738","25506","Femenino","ENTEL","3","3104"
"44126","22425","Masculino","CLARO","5","3065"
"57581","24989","Femenino","ENTEL","6","3108"
"50663","12183","Masculino","WOM","5","2869"
"70909","22267","Masculino","CLARO","2","3043"
"66211","23718","Masculino","CLARO","5","3022"
"61852","17112","Femenino","ENTEL","5","3021"
"27822","20086","Femenino","ENTEL","3","2992"
"93173","23736","Masculino","CLARO","3","3062"
"42856","15332","Masculino","CLARO","3","2929"
"71956","22329","Femenino","ENTEL","2","3054"
"23860","25224","Masculino","CLARO","3","3050"
"85092","27465","Femenino","ENTEL","6","3096"
"56717","22083","Masculino","WOM","8","3090"
"52300","21893","Masculino","CLARO","6","2998"
"29847","18429","Masculino","CLARO","5","3044"
"53669","20939","Femenino","ENTEL","7","3004"
"98461","25374","Femenino","ENTEL","6","3083"
"11416","21280","Femenino","ENTEL","5","3039"
"78095","22728","Masculino","CLARO","4","3029"
"58731","22002","Femenino","ENTEL","5","3059"
"96240","21395","Masculino","CLARO","8","3021"
"40622","15331","Femenino","ENTEL","7","2949"
"76748","21215","Femenino","ENTEL","5","3048"
"76757","18300","Masculino","CLARO","4","2944"
"91065","15746","Masculino","WOM","6","2899"
"33925","18587","Femenino","ENTEL","2","2968"
"12449","22564","Masculino","CLARO","5","3017"
"23492","21829","Femenino","ENTEL","5","3097"
"59631","21453","Masculino","CLARO","3","3031"
"44068","14163","Femenino","ENTEL","5","2896"
"93242","23553","Femenino","ENTEL","3","3040"
"14125","24389","Masculino","CLARO","4","3121"
"55902","27407","Masculino","CLARO","6","3075"
"74869","17453","Femenino","ENTEL","6","2959"
"34057","24247","Femenino","ENTEL","3","3059"
"25193","20567","Masculino","CLARO","6","3078"
"97853","22216","Femenino","ENTEL","3","3092"
"90763","17866","Masculino","CLARO","6","3035"
"54261","18560","Masculino","CLARO","3","2968"
"89891","23304","Masculino","CLARO","6","3087"
"36503","19367","Femenino","ENTEL","5","3000"
